Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2022,Mahindra Thar LX 4WD Hard Top Diesel AT BSVI,"42,919",Diesel,Automatic,13.06,"Mumatpura, Ahmedabad"
2014,Mahindra XUV500 W8 2WD,"72,000",Diesel,Manual,6.50,"Makarba, Ahmedabad"
2016,Maruti Vitara Brezza VDi,"83,000",Diesel,Manual,6.25,"Naranpura, Ahmedabad"
2013,Hyundai i20 Era Petrol,"14,338",Petrol,Manual,2.70,"Gota, Ahmedabad"
2019,Hyundai Creta 1.6 SX Automatic,"50,000",Petrol,Automatic,10.90,"Naranpura, Ahmedabad"
2018,Renault Captur 1.5 Diesel RXE,"65,847",Diesel,Manual,5.68,"Gota, Ahmedabad"
2012,Hyundai EON D Lite Plus,"35,000",Petrol,Manual,2.40,"Ambawadi, Ahmedabad"
2013,Ford Ecosport 1.5 DV5 MT Titanium,"93,240",Diesel,Manual,4.25,"Nikol, Ahmedabad"
2022,Tata Nexon XM Diesel,"31,286",Diesel,Manual,7.36,"Gota, Ahmedabad"
2023,Maruti S-Presso VXI CNG,"21,728",CNG,Manual,4.59,"Gota, Ahmedabad"
2020,Tata Tiago XZA Plus,"34,000",Petrol,Automatic,5.25,"Ramdev Nagar, Ahmedabad"
2019,Renault Captur 1.5 Petrol RXE,"48,000",Petrol,Manual,4.25,"Navrangpura, Ahmedabad"
2020,Tata Harrier XZ,"42,694",Diesel,Manual,13.06,"Gota, Ahmedabad"
2020,Renault Triber RXT BSIV,"76,500",Petrol,Manual,4.45,"Vasna, Ahmedabad"
2017,Hyundai Creta 1.6 VTVT AT SX Plus,"59,000",Petrol,Automatic,8.90,"Naranpura, Ahmedabad"
2017,Renault KWID 1.0 AMT RXT,"19,942",Petrol,Automatic,3.10,"Gota, Ahmedabad"
2017,Renault KWID 1.0 AMT RXT,"38,200",Petrol,Automatic,2.49,"Gota, Ahmedabad"
2016,Hyundai Grand i10 AT Asta,"23,551",Petrol,Automatic,4.10,"Naroda, Ahmedabad"
2016,Hyundai i20 1.2 Sportz,"79,071",Petrol,Manual,4.50,"Naroda, Ahmedabad"
2023,Maruti Swift AMT ZXI,"11,515",Petrol,Automatic,7.14,"Gota, Ahmedabad"
2022,Kia Sonet GTX Plus Diesel BSVI,"68,000",Diesel,Manual,11.90,"Makarba, Ahmedabad"
2013,Audi A4 2.0 TDI,"74,000",Diesel,Automatic,12.50,"Naranpura, Ahmedabad"
2023,Hyundai Verna SX,"18,000",Petrol,Manual,13.25,"Navrangpura, Ahmedabad"
2017,BMW X1 sDrive20d Expedition,"85,000",Diesel,Automatic,18.75,"Makarba, Ahmedabad"
2021,Hyundai Venue SX Turbo,"62,715",Petrol,Manual,7.20,"Mumatpura, Ahmedabad"
2018,Hyundai i20 1.2 Magna Executive,"27,000",Petrol,Manual,5.50,"Naranpura, Ahmedabad"
2023,Tata Tigor XZ Plus CNG BSVI,"10,000",CNG,Manual,8.25,"Naranpura, Ahmedabad"
2013,Hyundai i20 Petrol Magna,"40,045",Petrol,Manual,2.93,"Gota, Ahmedabad"
2022,Honda WR-V VX,"29,000",Petrol,Manual,8.75,"Naranpura, Ahmedabad"
