Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2018,Hyundai Verna VTVT 1.6 AT SX Option,45700,Petrol,Automatic,825000,Ahmedabad
2017,Maruti Ignis 1.2 AMT Delta BSIV,55000,Petrol,Automatic,490000,Ahmedabad
2020,Maruti Baleno 1.2 Delta,58200,Petrol,Manual,625000,Ahmedabad
2011,Maruti Ritz VXI,51000,Petrol,Manual,240000,Ahmedabad
2019,Hyundai Verna SX IVT Opt,65824,Petrol,Automatic,902000,Ahmedabad
2016,Honda City i VTEC CVT SV,72000,Petrol,Automatic,590000,Ahmedabad
2019,Renault Duster SANDSTORM RXS 85 PS,69811,Diesel,Manual,651000,Ahmedabad
2020,Maruti Vitara Brezza ZXI Plus,50117,Petrol,Manual,695000,Ahmedabad
2017,Honda Jazz 1.2 V AT i VTEC,65000,Petrol,Automatic,525000,Ahmedabad
2017,Renault Triber RXZ Dual Tone,34934,Petrol,Manual,546000,Ahmedabad
2017,Honda WR-V i-VTEC S,52752,Petrol,Manual,490000,Ahmedabad
2019,Maruti Wagon R ZXI AMT 1.2,93156,Petrol,Automatic,400000,Ahmedabad
2023,MG Astor Savvy CVT BSVI,19000,Petrol,Automatic,1375000,Ahmedabad
2016,Maruti Alto 800 LXI,22151,Petrol,Manual,280000,Ahmedabad
2021,Maruti Vitara Brezza ZXI,86424,Petrol,Manual,731000,Ahmedabad
2021,Volkswagen Taigun 1.5 TSI GT Plus DSG,51545,Petrol,Automatic,1238000,Ahmedabad
2019,Maruti Celerio ZXI,35420,Petrol,Manual,366000,Ahmedabad
2021,Maruti Alto 800 LXi,4970,Petrol,Manual,367000,Ahmedabad
2019,Maruti Celerio ZXI,55452,Petrol,Manual,413999,Ahmedabad
2017,Hyundai i20 Magna AT 1.4,102500,Petrol,Automatic,425000,Ahmedabad
2015,Hyundai Grand i10 Asta,32633,Petrol,Manual,482000,Ahmedabad
2017,Maruti Wagon R VXI 1.2,76026,Petrol,Manual,397000,Ahmedabad
2021,Mahindra Thar LX 4WD Convert Top Diesel BSVI,34176,Diesel,Manual,1305000,Ahmedabad
2019,Hyundai i20 Sportz Plus BSIV,59777,Petrol,Manual,540000,Ahmedabad
2022,Tata Nexon XM S Diesel BSVI,60000,Diesel,Manual,875000,Ahmedabad
2019,Hyundai Xcent 1.2 VTVT S,63033,Petrol,Manual,455000,Ahmedabad
2020,Hyundai Aura S,26098,Petrol,Manual,525000,Ahmedabad
2013,Hyundai i10 Sportz,73433,Petrol,Manual,274000,Ahmedabad
2017,Maruti Ignis 1.2 AMT Delta BSIV,72325,Petrol,Automatic,390000,Ahmedabad
2019,Renault Duster Petrol RXS CVT,72081,Petrol,Automatic,644000,Ahmedabad
2022,Tata Altroz XZ,65500,Petrol,Manual,708000,Ahmedabad
2018,Jeep Compass 1.4 Longitude Plus AT,77000,Petrol,Automatic,875000,Ahmedabad
2022,Honda City ZX MT,53883,Petrol,Manual,1157000,Ahmedabad
2015,Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,86000,Diesel,Manual,894999,Ahmedabad
2015,Hyundai Grand i10 AT Asta,57000,Petrol,Automatic,450000,Ahmedabad
2013,Hyundai i10 Magna 1.1,88512,Petrol,Manual,263000,Ahmedabad
2016,Maruti Swift Dzire VXi AT,50767,Petrol,Automatic,493000,Ahmedabad
2021,Renault Triber RXZ,31140,Petrol,Manual,590000,Ahmedabad
2009,Hyundai Santro Xing GLS,80000,Petrol,Manual,211000,Ahmedabad
2020,Hyundai Aura S,47646,Petrol,Manual,558000,Ahmedabad
2022,Maruti Celerio ZXI,20280,Petrol,Manual,490000,Ahmedabad
2023,Maruti Celerio ZXI,4000,Petrol,Manual,571000,Ahmedabad
2021,Maruti Wagon R VXI 1.2,53517,Petrol,Manual,455000,Ahmedabad
2018,Honda Jazz 1.2 V i VTEC,30931,Petrol,Manual,461000,Ahmedabad
2016,Honda Amaze VX i-Vtech,93191,Petrol,Manual,370000,Ahmedabad
2019,Maruti Wagon R ZXI 1.2,63163,Petrol,Manual,434999,Ahmedabad
2021,Maruti S-Presso VXI Plus 2019-2022,45450,Petrol,Manual,353000,Ahmedabad
2015,Maruti Wagon R VXI BS IV,19482,Petrol,Manual,340000,Ahmedabad
2019,Hyundai Grand i10 1.2 Kappa Magna BSIV,57000,Petrol,Manual,520000,Ahmedabad
2020,Maruti Baleno Zeta,94048,Petrol,Manual,530000,Ahmedabad
2018,Honda WR-V i-VTEC VX,33576,Petrol,Manual,600000,Ahmedabad
2023,Hyundai Verna SX Opt,49853,Petrol,Manual,1425000,Ahmedabad
